Index;Arithmancy;Astronomy;Herbology;Defense Against the Dark Arts;Divination;Muggle Studies;Ancient Runes;History of Magic;Transfiguration;Potions;Care of Magical Creatures;Charms;Flying;;;;;;;;;;;
33;0,300924089;0,70495844;0,712132637;-0,70495844;0,010991881;-0,289181618;-1,597828307;0,364851539;0,505907185;-1,403270255;0,533481858;-0,316138809;-0,736512488;;;;;;;;;;;
35;-0,299679338;-0,625031476;1,150848744;0,625031476;0,915758247;0,979013969;0,856596274;-0,117153754;0,386046618;-0,411436256;0,073403008;1,379278751;0,284303581;;;;;;;;;;;
36;-0,373833825;1,003839732;1,062854359;-1,003839732;0,468972059;-0,332202683;-1,098825798;-0,048001298;0,194856705;-1,413949725;1,75521518;-0,116985329;0,079833355;;;;;;;;;;;
37;0,627371549;0,648880618;1,053704372;-0,648880618;0,828153112;-1,015524013;-0,374033555;0,419546014;0,542526915;-0,064785254;1,193374995;0,223839413;-0,077663981;;;;;;;;;;;
38;-0,519806753;-1,278624232;-1,930075958;1,278624232;-2,466043312;-0,092242657;-1,122279153;0,865029228;0,598075122;1,852875013;0,017013231;-0,915787735;-1,51959866;;;;;;;;;;;
40;0,172561354;0,859563513;-1,157372748;-0,859563513;0,537352734;-0,393733738;1,004523464;-1,838682859;-1,951912371;-1,347507406;-1,391248236;-1,04383757;1,698300136;;;;;;;;;;;
41;-1,207562666;0,844836976;0,820878925;-0,844836976;0,827423069;-0,444397443;-0,13302401;0,367559646;-0,000861055;0,363311513;-1,878462539;0,299493016;0,486829396;;;;;;;;;;;
42;-0,448527399;-1,225866414;1,036980768;1,225866414;0,000771282;1,261280676;0,721560731;0,805898708;0,28825887;0,518278038;-0,66411827;1,485723676;-0,210293317;;;;;;;;;;;
44;0,124762258;0,755871443;0,762838739;-0,755871443;0,323206848;-0,780302349;-1,042829854;0,110638519;0,674375862;-0,627979959;-0,082000343;-0,191077516;-0,249283886;;;;;;;;;;;
45;1,433487128;-0,886247825;1,161673077;0,886247825;0,900914044;1,468683802;1,603470881;1,109147256;0,645188317;1,156730251;-1,640547794;1,753175484;-0,532553949;;;;;;;;;;;
46;0,578554176;-0,839556072;0,609580103;0,839556072;0,334400837;1,435783663;0,680019966;0,754570191;0,342026369;0,18124165;1,24556125;1,163234201;-0,632639976;;;;;;;;;;;
47;0,163935953;0,863579265;0,664795472;-0,863579265;0,468485363;-0,587660105;-1,326722071;0,454941485;0,627538853;-0,829155833;1,155206396;-0,196634658;-0,635198412;;;;;;;;;;;
48;1,14507529;-0,833857746;-1,109753503;0,833857746;-2,472127002;-0,404834731;-0,867538411;-0,282377581;0,653188198;0,54044377;-0,349919907;-1,21300775;-0,792184061;;;;;;;;;;;
49;0,221857916;1,143743192;-0,942538719;-1,143743192;0,565337707;-0,428921543;0,898173727;-1,943383646;-1,760089682;-1,398308265;-1,993438349;-1,124768353;1,768605964;;;;;;;;;;;
50;-0,396355704;0,718503026;-1,376322815;-0,718503026;0,207373392;-0,552334449;0,846692082;-1,703078768;-1,622700825;-0,628478294;-0,645784369;-1,108796834;1,580202718;;;;;;;;;;;
51;-0,094227083;-1,064974681;-1,245836757;1,064974681;-2,717178032;-0,490449705;-1,152749468;-0,172079349;1,142995272;1,243933935;-1,17951172;-1,103479823;-0,887460228;;;;;;;;;;;
52;-0,506748854;-1,354906258;-0,494007815;1,354906258;-1,914374309;-0,999879081;-1,255345701;-0,04575422;0,835012136;0,288460205;1,329367115;-0,43996986;-0,64850228;;;;;;;;;;;
54;-0,310940277;0,760561845;-1,02457883;-0,760561845;0,621064307;-1,035938133;0,684930665;-2,127403349;-1,787217413;-1,661217357;0,49105198;-1,041201826;1,887829094;;;;;;;;;;;
55;1,131118913;-0,551251061;-1,849499932;0,551251061;-1,525504848;-0,28796256;-0,319579238;0,921574881;0,035043885;1,818194405;-0,557418767;-1,005422392;-1,268155544;;;;;;;;;;;
57;0,305596181;-0,85881668;-1,022515821;0,85881668;-1,928488469;-0,529332729;-0,824697417;0,036055501;0,577699647;0,79067828;-0,378499129;-0,840126165;-0,749202332;;;;;;;;;;;
58;-1,831167162;1,216480958;0,681921491;-1,216480958;-0,054225275;-0,286289891;-1,079957716;0,517575004;0,190575256;0,34281292;-1,30430876;-0,284523533;0,186264304;;;;;;;;;;;
59;-0,245111698;1,023146028;-1,14960272;-1,023146028;0,577991782;-0,132086715;0,900637481;-1,393733381;-1,268152594;-0,367784806;0,685377383;-0,906258768;1,30194719;;;;;;;;;;;
60;0,134765327;-0,975319536;-1,355424977;0,975319536;-2,453632584;-0,229539818;-0,944411965;0,1186256;0,628168379;1,111414619;-1,073354925;-1,038798245;-0,940573364;;;;;;;;;;;
61;-0,310940277;-0,76617551;0,825924484;0,76617551;0,74736171;2,022886651;1,483550461;0,313980324;1,074591445;1,222331296;1,649971534;1,651340836;-0,160966666;;;;;;;;;;;
62;0,756512966;0,740793261;0,684057602;-0,740793261;0,576775044;-0,454529963;-1,524313861;0,680453719;0,608780543;-1,329659118;0,58342565;-0,13113254;-1,051302486;;;;;;;;;;;
63;1,261398403;0,278807391;0,67471688;-0,278807391;0,58431882;-1,211329022;-1,245871412;-0,032155955;1,246488261;-1,191002058;-0,511313616;-0,083699383;-0,823396983;;;;;;;;;;;
65;1,431570373;0,63392533;0,641220699;-0,63392533;0,883149669;-0,996497546;-1,042382857;0,768367279;0,936269164;-0,496717583;0,927411452;-0,000606288;-1,060410519;;;;;;;;;;;
66;0,88445641;0,689597054;0,604943244;-0,689597054;0,632501644;-1,392212472;-0,28911805;0,517917546;1,037757075;1,032932144;0,26579276;-0,033304996;-0,30290871;;;;;;;;;;;
67;-1,137601082;-1,257134329;1,118710459;1,257134329;0,160407305;0,688006936;0,41519606;0,804987835;0,201334185;0,350986601;0,488825807;1,52703749;-0,053410005;;;;;;;;;;;
68;-0,612649608;0,959462449;-1,219512453;-0,959462449;0,49209008;-0,526621175;0,821704372;-1,929942717;-2,222391886;-1,479506813;1,273334183;-1,13622633;1,951790001;;;;;;;;;;;
69;0,551420103;0,984197016;1,151075797;-0,984197016;0,13363907;-0,334032976;-1,214119318;1,345626002;0,169311971;-0,322421719;1,437553386;-0,070102993;-0,719831484;;;;;;;;;;;
71;0,410897949;-0,979622873;-0,698556086;0,979622873;-1,639391524;-0,566826639;-0,45003713;0,012093338;0,083009976;0,449101353;-0,259950912;-0,557074983;-0,378229074;;;;;;;;;;;
73;-0,192460814;0,928971996;1,02705777;-0,928971996;-0,016019703;-0,729341758;-0,878498127;-0,328109078;0,503013803;-0,680775964;0,534649274;-0,327281544;0,353074348;;;;;;;;;;;
74;0,323086577;-0,480940326;0,537930927;0,480940326;1,096078817;2,123766769;1,198433422;0,6291861;1,187399865;1,002819771;0,079416485;1,496064079;-0,763529575;;;;;;;;;;;
75;0,331412485;0,757324218;1,018295381;-0,757324218;0,384530442;-0,35081516;-0,798848703;0,700696026;0,143219009;-0,560943808;-1,120353533;0,058966543;-0,300759623;;;;;;;;;;;
76;1,197306884;-1,159714577;1,233970659;1,159714577;0,500120551;1,77612899;1,316229176;0,344652466;0,672317564;0,009368049;0,20503865;1,650859437;-0,330642159;;;;;;;;;;;
77;-0,185871966;-0,662019723;0,83410811;0,662019723;0,838130364;1,351591207;1,396818876;0,408321525;0,41687407;0,89389883;0,215335416;1,479194632;0,098868121;;;;;;;;;;;
78;1,282722311;0,582362822;0,205590391;-0,582362822;0,34024118;-0,714267867;-0,740576945;0,421782153;0,791239643;-0,076347122;-0,334230429;-0,301264379;-0,794333148;;;;;;;;;;;
79;1,132436682;0,71476337;0,231614243;-0,71476337;0,548546723;-0,615535252;-0,347259308;0,465897985;0,561378024;0,266989034;1,199127598;-0,196673352;-0,526720714;;;;;;;;;;;
80;-0,202104491;0,821552357;0,313019252;-0,821552357;0,357032164;-0,37478401;-0,848516887;0,713214575;0,393507571;0,167985389;0,711086451;-0,170146337;-0,508402311;;;;;;;;;;;
83;0,400176097;0,556106866;-1,169659314;-0,556106866;0,532485782;-0,585969539;1,292988501;-1,622264613;-1,338408954;-0,332971071;1,346786027;-0,810177007;1,484824214;;;;;;;;;;;
84;0,544831255;0,827120054;0,666608099;-0,827120054;0,786297325;-1,072510432;-1,087547633;0,428841567;0,978324091;-0,355077586;-1,181816899;-0,100837412;-0,643590083;;;;;;;;;;;
86;-1,715862325;1,18031675;0,74335789;-1,18031675;0,39183087;-0,107728312;-0,553598889;0,20585278;-0,182147482;-0,018257677;0,126409971;-0,068976315;0,569108706;;;;;;;;;;;
87;-1,016006891;1,433733919;0,847423304;-1,433733919;0,429063053;-0,640422161;-0,636571167;0,927581039;0,258903032;1,055647374;0,318806042;-0,134405597;0,128750657;;;;;;;;;;;
88;-0,143823138;0,989325975;0,950875262;-0,989325975;0,130232203;-0,049563039;-1,029665695;0,285287451;-0,039108107;-1,112575635;-0,809267424;-0,210286812;-0,061085314;;;;;;;;;;;
89;1,092184812;0,371049117;-0,891291496;-0,371049117;0,495496947;-0,782732965;1,529061875;-2,327797421;-1,52496736;-1,23110567;-1,450532394;-0,833235218;1,933164585;;;;;;;;;;;
91;0,651929981;0,503263157;-0,919185301;-0,503263157;0,892883573;-0,016819159;1,310872788;-1,77727294;-1,037350635;-0,959951896;-0,874570061;-0,51214897;1,275134778;;;;;;;;;;;
92;-0,667037552;-0,753484199;1,105543385;0,753484199;0,644182329;1,41983514;0,907632026;0,621334326;0,407216053;0,494826677;-0,829852096;1,566685186;-0,04440431;;;;;;;;;;;
94;-0,563772337;0,724459084;1,169811218;-0,724459084;0,611087055;-0,393545512;-0,974570966;0,082726881;0,167476168;-1,332387166;1,502004595;0,165051842;0,09528631;;;;;;;;;;;
95;-0,985817989;1,326616278;0,611093285;-1,326616278;0,5356493;-0,268575697;-1,856532292;0,149445162;0,494281916;-1,525740996;0,276891537;-0,409806747;-0,469514079;;;;;;;;;;;
96;-0,543646402;0,926979097;-0,952888893;-0,926979097;0,65926988;-0,871465214;1,114063528;-1,89926594;-1,574148268;-0,580473966;-0,444056848;-0,90375959;2,018821031;;;;;;;;;;;
97;-0,062121425;-0,962430243;0,567459133;0,962430243;0,547573333;1,672039594;1,058082112;0,461690987;0,78569857;0,728455123;-0,71408711;1,43630233;-0,434309996;;;;;;;;;;;
98;-0,818041964;-1,36142064;-1,078781283;1,36142064;-1,644015128;-0,829097568;-1,142132554;0,687896412;0,627225837;1,124453064;-0,899747872;-0,363608384;-1,090293055;;;;;;;;;;;
99;1,363645342;0,650583116;0,88522375;-0,650583116;0,217593991;-0,586876577;-1,097892934;0,156329433;0,598871445;-1,30130455;0,412921264;-0,248270666;-0,57267023;;;;;;;;;;;
100;-1,021397767;1,1845404;-0,943759783;-1,1845404;0,512774626;-0,27436444;1,174031147;-1,697796067;-1,203634347;0,163131262;0,897020864;-0,871666329;1,905328798;;;;;;;;;;;
101;-0,81301048;1,008717603;1,105778057;-1,008717603;0,353625298;-0,628080487;-1,046508089;0,347136224;0,352955297;-0,435982395;-1,059034348;-0,04465941;0,097435397;;;;;;;;;;;
102;1,542562509;-1,309777393;0,813218897;1,309777393;0,240712012;1,57003981;1,239038693;0,140266225;0,272083162;-0,398552764;0,234659542;1,328157145;-0,320613089;;;;;;;;;;;
103;0,420122336;0,927196988;0,577539816;-0,927196988;0,894587006;-0,596116743;-1,031462542;0,753429932;0,564398971;-0,458171947;-0,942428354;-0,035152066;-0,75329583;;;;;;;;;;;
104;0,481578316;-0,697922481;1,123778982;0,697922481;0,875362546;1,366184651;1,309884412;1,043410341;0,497942973;1,067069641;0,89563062;1,651668597;-0,329107097;;;;;;;;;;;
105;-0,120881968;0,898324574;-1,556794221;-0,898324574;0,092513326;-0,158172552;0,910460776;-1,257345291;-1,678231585;-0,149922497;-0,500439579;-1,196442165;1,27104128;;;;;;;;;;;
106;0,57148614;-1,106718297;-1,674248969;1,106718297;-2,106132215;-0,406571253;-1,164413705;0,909762477;0,371730991;1,135808477;1,886105258;-0,953220768;-1,608018217;;;;;;;;;;;
108;0,992872906;0,714988467;0,776186816;-0,714988467;0,180848504;-0,925216977;-0,543144114;0,439318969;0,688211651;0,274573473;0,521797924;-0,185152781;-0,278757072;;;;;;;;;;;
109;0,940281921;-0,743087112;-2,061536277;0,743087112;-2,483320991;-0,036058393;-0,675720732;0,533472889;0,534055379;1,934332237;0,256610163;-1,370068983;-1,380112715;;;;;;;;;;;
111;1,87152571;-1,212693854;0,383137001;1,212693854;0,430279791;2,713106554;1,193555439;0,759937534;0,881279481;0,14923695;1,36898023;1,463991303;-1,337540335;;;;;;;;;;;
113;0,816531379;-1,118489008;0,769098396;1,118489008;0,421762625;1,668851723;1,033465519;-0,349200015;0,0631005;-1,163381873;-0,543170805;1,234678124;-0,00746049;;;;;;;;;;;
115;-1,000073859;0,985209899;-1,082042609;-0,985209899;0,539786209;-0,763670486;0,650532778;-1,85025237;-1,536886122;-0,884986657;0,314224429;-1,026831556;1,811997043;;;;;;;;;;;
116;-0,332443881;-1,271758429;0,783879953;1,271758429;0,029486298;1,599603253;0,704156691;0,032837156;-0,007569925;-0,68872072;0,98533019;1,292309427;-0,000603881;;;;;;;;;;;
118;-1,143650843;1,282100977;0,500393494;-1,282100977;0,616440703;-0,539673626;-0,768685058;0,913543326;0,334606115;0,850639154;1,137746272;-0,10988498;-0,151858633;;;;;;;;;;;
119;0,257198099;0,683306773;0,448313362;-0,683306773;1,196581374;-0,82637041;-0,942453724;0,473180158;0,792226116;-0,543781821;0,394964485;0,119204001;-0,721059533;;;;;;;;;;;
120;0,381487728;-1,251388878;0,471101122;1,251388878;0,445367342;1,710061357;1,824624867;0,279075389;0,265441634;0,978855671;1,063858106;1,516295352;0,014337387;;;;;;;;;;;
122;-1,433500248;-0,927002531;1,012326394;0,927002531;0,402781512;1,536896873;0,297018331;0,332416601;0,370771747;-0,389741802;0,127764495;1,468804154;-0,104271718;;;;;;;;;;;
123;2,488960648;0,006463512;0,551918936;-0,006463512;0,42322271;-1,123386288;-0,719151521;-0,097078839;1,115297261;-1,074289104;-2,321140005;-0,10652543;-0,860545478;;;;;;;;;;;
125;-0,006655306;-1,099521459;-1,000932934;1,099521459;-2,184733489;-0,834969151;-1,141190554;0,302645325;0,732047568;1,025704104;1,727146036;-0,807475255;-0,933819093;;;;;;;;;;;
126;-0,283746306;0,606882694;0,774770971;-0,606882694;0,121958385;-0,251832018;-0,151080088;0,292434711;-0,054115202;0,169187439;-0,647345342;0,048131085;0,333118545;;;;;;;;;;;
129;-0,41342681;1,172612397;1,328838199;-1,172612397;0,171601295;-0,148381577;-1,660699717;-0,033928641;0,149405159;-2,142860758;0,431983626;-0,279677678;-0,050237544;;;;;;;;;;;
130;-0,151789654;-0,86578812;-1,200482909;0,86578812;-1,903910362;-0,206277804;-0,371391148;0,222272246;0,210799004;1,391302863;0,153828095;-0,722230091;-0,526311364;;;;;;;;;;;
131;-1,036192725;0,73507046;-1,719968433;-0,73507046;0,264073382;-0,287874839;0,338405646;-1,460943726;-2,215282436;-1,402008591;-0,365533168;-1,212959952;1,335309199;;;;;;;;;;;
132;0,498110334;-1,25858233;-2,134220448;1,25858233;-2,201767821;-0,49035671;-1,287613046;1,462489433;0,428346125;1,823532419;-0,935351061;-1,002066256;-2,0823523;;;;;;;;;;;
133;1,13381435;0,597726809;0,712388424;-0,597726809;0,393534304;-0,399280967;-1,812714549;1,036526495;0,632874522;-1,490142576;0,318682702;-0,134139291;-1,460345276;;;;;;;;;;;
136;1,366041286;-1,337975225;0,704949081;1,337975225;0,389640742;1,528333325;1,231381966;0,253543315;0,005538113;-0,51167275;-1,273527046;1,365870141;-0,318873352;;;;;;;;;;;
138;-0,056910245;0,632930336;0,814166728;-0,632930336;0,722296907;-0,862585492;-0,683662457;-0,042269536;0,633968849;-0,565070829;-0,335426254;0,072155508;-0,008381527;;;;;;;;;;;
139;0,778016569;1,334384485;-0,487208745;-1,334384485;1,111896411;-0,695354882;0,951105799;-2,243932356;-1,894915352;-2,292561347;0,635541714;-1,004467561;2,007768586;;;;;;;;;;;
141;-0,174491229;-1,235002709;0,810892531;1,235002709;0,215890558;1,398831353;1,087981842;0,367969035;0,20642166;0,313858202;-1,526384518;1,452206703;-0,019024622;;;;;;;;;;;
142;-0,131004834;0,812173572;-1,286914146;-0,812173572;0,186688846;-0,614789328;1,18249503;-1,706199656;-1,640028886;-0,196549647;1,699869975;-1,111104818;1,777304648;;;;;;;;;;;
143;0,948188538;0,658154559;0,883855078;-0,658154559;0,287921446;-0,466468173;-0,665930379;0,526021527;0,311835981;-0,496137394;-0,334449768;-0,051763174;-0,36993974;;;;;;;;;;;
144;-1,620563627;1,062163569;-1,320608465;-1,062163569;0,351921864;-0,715962982;0,94075452;-1,514159305;-1,761881735;0,166533679;0,489116199;-1,05713465;1,986789409;;;;;;;;;;;
146;-0,424927344;-1,169798518;-1,377110888;1,169798518;-2,050892311;-0,633416792;-1,129892996;0,76969887;0,609286274;1,503005783;-0,392684137;-0,715470021;-1,231928086;;;;;;;;;;;
147;-0,815226729;0,851518308;-0,927498075;-0,851518308;0,801871572;-0,261699179;1,22936312;-1,78874238;-1,309898953;-0,419091542;1,154392294;-0,633725526;1,822435463;;;;;;;;;;;
148;-0,497165076;0,485241171;-1,413129897;-0,485241171;0,507907674;-0,490432262;0,647961935;-1,967650421;-2,172709835;-1,980471873;-1,094776922;-1,008242502;1,637818703;;;;;;;;;;;
149;0,092956093;1,261329771;-0,934900999;-1,261329771;0,531025696;-1,022510334;0,9594116;-2,037967873;-2,188551395;-1,359499066;0,693972239;-1,300275245;2,190133923;;;;;;;;;;;
150;-0,677400013;-0,979810826;0,551295938;0,979810826;0,36554933;1,453929575;0,930347678;0,407417941;0,487425932;0,677903539;0,260901943;1,35259696;-0,162706403;;;;;;;;;;;
151;-0,376109972;1,189900587;-0,955405748;-1,189900587;0,516668188;-0,596583799;1,11105855;-1,731219271;-1,470434757;-0,263798828;-0,991298969;-1,028609204;1,895095053;;;;;;;;;;;
152;-1,029723674;1,430099435;-0,725927149;-1,430099435;1,174923438;-0,65877589;0,379947183;-2,076378279;-2,092611038;-2,374895139;0,530222452;-1,001591686;2,026701015;;;;;;;;;;;
153;-0,353348498;-1,058399383;-1,260279614;1,058399383;-1,647178647;-0,524219786;-0,755938616;0,845041728;0,191786025;1,416148752;0,528611036;-0,532901474;-0,998291686;;;;;;;;;;;
154;-0,739035689;-1,264308089;-1,302800581;1,264308089;-2,410316712;-1,011122937;-1,619980074;0,526321959;1,372405228;1,654552295;0,276724595;-0,849891848;-1,369878969;;;;;;;;;;;
155;0,87103912;0,757925588;0,952176213;-0,757925588;0,090566545;-0,495747525;-1,631509733;0,428554823;0,647447768;-1,502800131;-0,471710068;-0,296161323;-0,824522695;;;;;;;;;;;
156;-0,582340908;1,179824837;-0,766305881;-1,179824837;0,800411486;-0,779917179;1,054087006;-1,875370098;-1,266604566;-0,445618943;-0,921157294;-0,871398885;1,968778018;;;;;;;;;;;
157;-0,303992038;0,830479019;0,398605926;-0,830479019;0,974161671;-0,365082413;-0,776764921;1,073621384;0,308071717;0,136579533;-0,682245165;0,162427478;-0,677873129;;;;;;;;;;;
160;0,457079782;0,826149108;0,35070926;-0,826149108;1,10994963;-0,880840181;-0,481006342;0,32886726;0,737736801;0,070908772;-0,964905047;0,001734699;-0,410670045;;;;;;;;;;;
161;1,29835585;0,451592504;0,853820878;-0,451592504;0,125608599;-0,669809737;-1,386496412;0,975422762;0,71211975;-0,756219044;-0,357453723;-0,093049674;-1,133377121;;;;;;;;;;;
162;0,155490249;0,629926214;0,849900944;-0,629926214;0,556577194;-0,944024581;-0,850851222;1,573081883;0,660962338;0,93037584;-0,076339614;0,254618216;-0,814800638;;;;;;;;;;;
163;1,058761384;-1,051024312;-1,305906479;1,051024312;-1,993948973;0,159732385;-0,547985325;0,458765234;-0,481935971;0,179175974;0,429049349;-0,832018633;-0,952751521;;;;;;;;;;;
164;0,593049641;-0,677392098;1,356583696;0,677392098;0,500607246;0,924090142;0,551761223;0,450474704;-0,084452016;-0,802575171;0,412916782;1,234334431;-0,038264063;;;;;;;;;;;
165;-0,89309493;1,160795386;0,761722293;-1,160795386;0,397184517;-0,209203003;-1,08858187;0,12598828;0,193842904;-0,820995755;1,200534668;-0,225250011;0,042991873;;;;;;;;;;;
166;0,504339791;0,561408178;1,176086732;-0,561408178;0,237305146;-0,812586708;-0,649695648;-0,146200179;0,507253962;-0,820345204;0,892773532;-0,014459879;0,161600978;;;;;;;;;;;
167;0,314041886;0,766865534;0,079413775;-0,766865534;1,001173254;-0,832592659;-0,956702564;1,045267277;0,922266386;0,464742094;0,374161095;-0,023533623;-1,108099771;;;;;;;;;;;
169;-0,413666405;0,72968597;-0,777646491;-0,72968597;0,933522622;-0,742622703;1,037797074;-1,7869056;-0,773843295;-0,376370688;-0,614724775;-0,563934064;1,581123755;;;;;;;;;;;
170;-0,612469912;-0,824912345;0,685970255;0,824912345;0,637125248;1,662009135;1,122146681;0,322896203;0,879717075;0,924400853;0,686497564;1,49666725;-0,178568707;;;;;;;;;;;
171;0,238270136;0,791020808;-1,222871579;-0,791020808;0,257259649;-0,522367556;1,256211962;-1,656039493;-1,572717052;-0,245834928;1,109369899;-1,051707248;1,667803576;;;;;;;;;;;
172;-0,627085175;0,86871942;-1,13334208;-0,86871942;0,922328632;0,546939954;1,430894702;-1,079800355;-0,992239153;0,439086401;-0,419843981;-0,398392016;1,174741739;;;;;;;;;;;
173;-0,495967104;-1,133935656;0,989320536;1,133935656;0,422736015;1,379760788;0,846536262;0,624853874;0,819080818;0,711781438;-1,72238105;1,632528722;-0,3225575;;;;;;;;;;;
174;1,152682415;0,947388754;0,56144761;-0,947388754;0,670707217;-0,864233552;-0,957962791;0,15280027;0,852213828;-0,678239748;-0,497426948;-0,31584519;-0,590272271;;;;;;;;;;;
175;0,754057122;0,82532246;-1,064530111;-0,82532246;0,62982482;-0,748873908;0,718012476;-1,852641903;-1,689742093;-1,715700488;-1,111350659;-1,097518671;1,433143801;;;;;;;;;;;
